If you liked,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
Advanced Android Espresso,My favorite people and resources to learn Android programming from,Post: Just Say mNo to Hungarian Notation,Firebase Test Lab for Android,You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart,The Importance of Code Reviews
Vendas da Netshoes crescem 267% em dispositivos móveis no 1º semestre - 24Brasil,Não existe frete grátis!,Mercado de Cosméticos no Brasil - Setor que não conhece crise!,"Building A Modern, Scalable Backend: Modernizing Monolithic Applications",Amazon causa polêmica com serviço que faz entregas em 1 hora em Paris,Four Node.js Gotchas that Operations Teams Should Know about - The New Stack
What to look for in a code review ,Ultimate AI battle - Apple vs. Google,Lightning Distribution for Drupal: Build Advanced Authoring Experiences in Drupal 8,The Broken Window Theory,Meet Aquifer: A build system for easier Drupal development,Dries Distributions remain a growing opportunity for Drupal - Buytaert
"Spanner, the Google Database That Mastered Time, Is Now Open to Everyone","What do you mean by ""Event-Driven""?",Visual Thinking and Learning 3.0 working together at Walmart.com | Happy Melly,When to make a Git Commit,Sobre o Hipsters Ponto Tech,Microservices - When to React Vs. Orchestrate - Capital One DevExchange
Pesquisadores do MIT desenvolvem tecnologia que digitaliza livros fechados - Geek,[Tools] A Tool for tracking Kanban projects (that you can cut out and keep) - Emily Webber,"Feather: A Fast On-Disk Format for Data Frames for R and Python, powered by Apache Arrow",Novas frentes de trabalho da Alelo vão de ações de fidelidade a novos meios de pagamento,Visa inaugura Co-Creation Center em São Paulo,Liberty vai adotar telemetria e baratear seguro para bons motoristas
VersionOne AgilelIVE™ Webinar Series| SAFe® Expert Webinar,"Agile is Dead, Long Live Continuous Delivery - Gradle",Kotlin no Backend (Parte 2) :: Concrete Solutions,Do you want Crappy Agile?,Changing change management,How One Jira Ticket Made My Employer $1MM/Month: 7 Metrics that Actually Matter - JavaScript Scene
"Create Intelligent, Context-Aware Apps with the Google Awareness APIs | Android Developers Blog",StrictMode for Runtime Analysis on Android - Google Developers,"Fresco, sim! - Android Dev BR",Creating Compound Views on Android,Android Mobile Vision restores operation and adds Text API | Android Developers Blog,The Importance of Code Reviews
Listas com RecyclerView - Android Dev BR,Using DiffUtil in Android RecyclerView,Usando o git add interativo,Sobre o Hipsters Ponto Tech,Graduação já não garante uma carreira de sucesso em TI - CIO,Sam Newman - Backends For Frontends
Kotlin no Backend (Parte 2) :: Concrete Solutions,VersionOne AgilelIVE™ Webinar Series| SAFe® Expert Webinar,"Kotlin in Production - What works, Whats broken",Building Flipkart Lite: A Progressive Web App,Combining Spring Boot and JDBI,The Java 8 API Design Principles
O que é liderança? Liderança é fazer a diversidade funcionar.,"Little girls doubt that women can be brilliant, study shows","Por dentro do MariaLab: A tecnologia é área para as mulheres, sim!",De piada sobre TPM a servir cafezinho: como lidar com machismo no trabalho?,Este é o melhor jeito de entender como as mulheres sofrem machismo na área de TI,Workplace diversity in Brazil: there's still a long way to go
"Who Owns Digital Transformation? According To A New Survey, It's Not The CIO",Google Cloud Goes to the Farm,Why image recognition is about to transform business,Nespresso,How to Create an Exponential Mindset,Mobile marketing statistics 2016
Why Silicon Valley is all wrong about Apple's AirPods - Chris Messina,DBA BRASIL no INTEROPMIX 2016,Visa inaugura centro para inovação em pagamento digital | EXAME.com,bliki: StranglerApplication,Closure Compiler in JavaScript,Lessons from converting an app to 100% Kotlin - Keepsafe Engineering
How One Jira Ticket Made My Employer $1MM/Month: 7 Metrics that Actually Matter - JavaScript Scene,Front in BH 2016,Google Cloud Platform sets a course for new horizons,Python Is Not Java (dirtSimple.org),XP quer ter banco no Brasil e vai abrir escritório em Genebra este mês,"If you think women in tech is just a pipeline problem, you haven't been paying attention - Tech Diversity Files"
"CSP Is Dead, Long Live CSP! On the Insecurity of Whitelists and the Future of Content Security Policy",Closure Compiler in JavaScript,"GitLab launches Issue Boards, an open-source task management tool that resembles Trello",You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart,Chrome OS now has Material Design for the desktop,Elastic Stack 5.0.0 Released
"5 awesome Google Keep features you aren't using, but should be",The AI business landscape,"Google lança Science Journal, aplicativo de ciências para Android | Google Discovery","Amazon open-sources its own deep learning software, DSSTNE",5 reasons your employees aren't sharing their knowledge,The Physical Web
5 reasons your employees aren't sharing their knowledge,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel",Text summarization with TensorFlow,The AI business landscape,This Super Accurate Portrait Selection Tech Uses Neural Networks,"Google launches Springboard, an AI-powered assistant for its enterprise customers"
Novo padrão de rede cabeada pode oferecer até 5 Gbps transferência de dados,Containers are not VMs,Most Interesting APIs in 2016: Cognitive Computing,Google lança YouTube Kids no Brasil | Google Discovery,Hacked Website Report - 2016/Q3,15 Awesome Sublime Text Plugins For Web Development
"How to build a robot that ""sees"" with $100 and TensorFlow",15 Interesting JavaScript and CSS Libraries for October 2016,Dark Scrum,Cubr,Visa inaugura centro para inovação em pagamento digital | EXAME.com,Um bilhão de arquivos mostram quem vence a disputa tabs vs. espaços entre programadores
Getting Started with Activity & Fragment Transitions (part 1),Up your app's sharing game with DirectShare - Google Developers,StrictMode for Runtime Analysis on Android - Google Developers,Building more accessible technology,Designing smart notifications,Usability Heuristics for Bots - Chatbots Magazine
Building more accessible technology,"Margaret Gould Stewart: How giant websites design for you (and a billion others, too)",Up your app's sharing game with DirectShare - Google Developers,Designing smart notifications,"Google acquires Synergyse, an interactive training service for Google Apps","Bots, Messenger and the future of customer service"
Top 10 Insurtech Trends for 2017 - Insurance Thought Leadership,Microsoft's Open Source Love Affair Reaches New Heights,Robô acha de almoço de 12 kg a cervejas pagas pelo cidadão,SOA com microserviços - Sensedia,My experience with Google's Associate Android Developer Certification,How This Former Google Engineer Is Bringing Blockchain to Banks
Engineering Digital Banking Solutions Using UX Methodology,Shopping app Spring's redesign could be a game-changer,Bradesco e Visa anunciam pulseira que substitui cartão | EXAME.com,Bradesco vai testar tecnologia por trás do bitcoin em São Paulo,The future of the shopping mall,Design Kit: Prototyping
This startup uses machine learning and satellite imagery to predict crop yields,"Build your own scalable, location analysis platform with Google Cloud Platform and Maps APIs","How to forecast demand with Google BigQuery, public datasets and TensorFlow | Google Cloud Big Data and Machine Learning Blog",Google Cloud Goes to the Farm,Google acquires deep search engine Kifi to enhance its Spaces group chat app,How to Create an Exponential Mindset
"Para neurociência, motivação não é fator principal em mudança de hábitos",O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil,Investimentos em coaching e mentoring aumentam nas empresas,What Science Tells Us About Leadership Potential,O que você deve fazer para se tornar um líder melhor?,Cinco competências comportamentais para você ser um bom líder
Google lança YouTube Kids no Brasil | Google Discovery,This Super Accurate Portrait Selection Tech Uses Neural Networks,Powering a more connected and collaborative enterprise,"Google Slides incorpora recurso de ""perguntas e respostas"" em tempo real | Google Discovery","Google launches Springboard, an AI-powered assistant for its enterprise customers","Amazon open-sources its own deep learning software, DSSTNE"
The Broken Window Theory,Advanced Android Espresso,My favorite people and resources to learn Android programming from,Firebase Test Lab for Android,The Importance of Code Reviews,StrictMode for Runtime Analysis on Android - Google Developers
Clean Coder Blog,Alecrim/AlecrimCoreData,Joel on Software,Ordering coffee in Italy: the 10 commandments,"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts","The New App Store: Subscription Pricing, Faster Approvals, and Search Ads"
"Coca-Cola é 1ª da lista ""Fortune"" a repor toda a água usada | EXAME.com","Have a Coke, take a photo and celebrate the Coke bottle's 100th anniversary using How-Old.net",7 Questions to Ask Before Your Next Digital Transformation,Blaise Agüera y Arcas: How computers are learning to be creative,The Difference Between Sympathy And Empathy - Expanded Consciousness,Coca-Cola Is Paying $575 Million for Unilever's Soy Drink Business
Nespresso,Why image recognition is about to transform business,Google Cloud Goes to the Farm,Mobile marketing statistics 2016,"Google launches Springboard, an AI-powered assistant for its enterprise customers",Running GV sprints inside corporates - learn from my mistakes - Sprint Stories
How bot-to-bot could soon replace APIs,The rise of APIs,Assessing Salesforce's platform and ecosystem | ZDNet,Robert Waldinger: Do que é feita uma vida boa? Lições do mais longo estudo sobre felicidade,Funcionários do mês no CoolHow: os Slackbots - CoolHow Creative Lab,Cracking the Job Interview with TensorFlow
Investimentos em coaching e mentoring aumentam nas empresas,O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil,How to augment your career with leadership coaching,Como resolver conflitos no ambiente corporativo us,O que você deve fazer para se tornar um líder melhor?,Lean IT is all about people - o Lean na TI é focado em pessoas
How it feels to learn Javascript in 2016,Node.js Best Practices - How to Become a Better Developer in 2017 | @RisingStack,Ciclistas relatam roubos com agressividade na avenida dos Andradas,Java Tools and Technologies Landscape Report 2016 | zeroturnaround.com,Berners-Lee quer criar outra Web,"Google Pixel, o primeiro smartphone feito pelo Google | Google Discovery"
Five questions boards should ask about IT in a digital world,Latin America's chronic inefficiency could drive more O2O commerce growth,Novas frentes de trabalho da Alelo vão de ações de fidelidade a novos meios de pagamento,Liberty vai adotar telemetria e baratear seguro para bons motoristas,PwC faz virada digital e já fatura US$ 1 bilhão no mundo,Mobile Time
Introducing LambCI - a serverless build system,On DRY and the cost of wrongful abstractions,Monitoramento em tempo real com Elasticsearch e Kibana,10 Modern Software Over-Engineering Mistakes,Decentralizing IoT networks through blockchain,The Continuous Delivery Maturity Model
